g_mag,u0g,u0m010,u0m009,u0m008,u0m007,u0m006,u0m005,u0m004,u0m003,u0m002,u0m001,u0p000,u0p001,u0p002,u0p003,u0p004,u0p005,u0p006,u0p007,u0p008,u0p009,u0p010,u0p011,u0p012,u0p013,u0p014,u0p015,u0p016,u0p017,u0p018,u0p019,u0p020,u0p021,u0p022,u0p023,u0p024,u0p025,u0p026,u0p027,u0p028,u0p029,u0p030,u0p031,u0p032,u0p033,u0p034,u0p035,u0p036,u0p037,u0p038,u0p039,u0p040,u0p041,u0p042,u0p043,u0p044,u0p045,u0p046,u0p047,u0p048,u0p049,u0p050,u0p051,u0p052,u0p053,u0p054,u0p055,u0p056,u0p057,u0p058,u0p059,u0p060,u0p061,u0p062,u0p063,u0p064,u0p065,u0p066,u0p067,u0p068,u0p069,u0p070,u0p071,u0p072,u0p073,u0p074,u0p075,u0p076,u0p077,u0p078,u0p079,u0p080,u0p081,u0p082,u0p083,u0p084,u0p085,u0p086,u0p087,u0p088,u0p089,u0p090,u0p091,u0p092,u0p093,u0p094,u0p095,u0p096,u0p097,u0p098,u0p099,u0p100
 3.60,13.700618,19.507680,19.254451,18.999339,18.742264,18.483146,18.221897,17.958425,17.692629,17.424404,17.153636,16.880202,16.603970,16.324799,16.041653,15.753418,15.459811,15.160518,14.855197,14.543467,14.224907,13.912905,13.622063,13.353766,13.115259,12.914148,12.752203,12.623635,12.522119,12.448315,12.397342,12.364086,12.348692,12.344736,12.345739,12.351698,12.360132,12.368560,12.376983,12.385399,12.393810,12.402215,12.410615,12.419009,12.427397,12.435780,12.444156,12.452528,12.460893,12.469253,12.477608,12.485956,12.494300,12.502637,12.510969,12.519296,12.527617,12.535932,12.544242,12.552547,12.560846,12.569139,12.577427,12.585710,12.593987,12.602259,12.610525,12.618786,12.627041,12.635291,12.643536,12.651775,12.660009,12.668238,12.676461,12.684679,12.692892,12.701099,12.709301,12.717498,12.725689,12.733875,12.742056,12.750232,12.758402,12.766567,12.774727,12.782882,12.791032,12.799176,12.807315,12.815449,12.823578,12.831702,12.839820,12.847934,12.856042,12.864145,12.872243,12.880336,12.888424,12.896507,12.904585,12.912657,12.920725,12.928788,12.936845,12.944898,12.952946,12.960988,12.969026,12.977059
 3.61,13.658286,19.499082,19.242395,18.983746,18.723051,18.460224,18.195174,17.927801,17.658000,17.385657,17.110652,16.832854,16.552122,16.268305,15.980342,15.687095,15.388260,15.083506,14.772466,14.454735,14.129861,13.813943,13.524571,13.263482,13.032496,12.833359,12.667574,12.530865,12.418541,12.331270,12.266728,12.222406,12.198523,12.188495,12.185648,12.189989,12.197918,12.205842,12.213761,12.221675,12.229584,12.237487,12.245386,12.253279,12.261168,12.269051,12.276929,12.284803,12.292671,12.300534,12.308392,12.316245,12.324093,12.331936,12.339774,12.347607,12.355436,12.363259,12.371077,12.378890,12.386699,12.394502,12.402301,12.410095,12.417883,12.425667,12.433446,12.441220,12.448990,12.456754,12.464514,12.472269,12.480018,12.487764,12.495504,12.503240,12.510970,12.518696,12.526418,12.534134,12.541846,12.549553,12.557255,12.564953,12.572646,12.580334,12.588017,12.595696,12.603370,12.611039,12.618704,12.626364,12.634020,12.641670,12.649317,12.656958,12.664595,12.672227,12.679855,12.687478,12.695097,12.702711,12.710320,12.717925,12.725526,12.733122,12.740713,12.748300,12.755882,12.763460,12.771033,12.778602
 3.62,13.611140,19.508627,19.249185,18.987553,18.723638,18.457341,18.188560,17.917181,17.643084,17.366142,17.086216,16.803156,16.516802,16.226979,15.932692,15.632865,15.327174,15.015262,14.697029,14.372361,14.040812,13.720268,13.430298,13.172923,12.945634,12.745517,12.573870,12.427615,12.303356,12.201767,12.122941,12.066846,12.033801,12.017043,12.009687,12.011749,12.018517,12.025282,12.032044,12.038801,12.045555,12.052304,12.059051,12.065793,12.072531,12.079266,12.085997,12.092724,12.099448,12.106168,12.112884,12.119596,12.126305,12.133010,12.139711,12.146409,12.153102,12.159792,12.166479,12.173162,12.179841,12.186516,12.193188,12.199856,12.206521,12.213182,12.219839,12.226493,12.233143,12.239789,12.246432,12.253071,12.259707,12.266339,12.272967,12.279592,12.286213,12.292831,12.299445,12.306056,12.312663,12.319266,12.325866,12.332463,12.339055,12.345645,12.352231,12.358813,12.365392,12.371967,12.378539,12.385107,12.391672,12.398234,12.404792,12.411346,12.417897,12.424445,12.430989,12.437530,12.444067,12.450601,12.457131,12.463658,12.470181,12.476702,12.483218,12.489732,12.496242,12.502748,12.509251,12.515751
 3.63,13.566437,19.515293,19.252900,18.988117,18.720844,18.450971,18.178384,17.902957,17.624559,17.343045,17.058263,16.770044,16.478209,16.182562,15.882152,15.575948,15.263603,14.944732,14.620437,14.291914,13.958865,13.639658,13.354386,13.105266,12.885962,12.689457,12.516826,12.366268,12.235769,12.125978,12.039009,11.976915,11.940085,11.921593,11.914361,11.918409,11.928092,11.937767,11.947435,11.957094,11.966746,11.976390,11.986026,11.995655,12.005276,12.014889,12.024494,12.034092,12.043682,12.053264,12.062839,12.072407,12.081966,12.091518,12.101063,12.110600,12.120129,12.129652,12.139166,12.148673,12.158173,12.167665,12.177150,12.186628,12.196098,12.205561,12.215016,12.224464,12.233905,12.243339,12.252765,12.262184,12.271596,12.281000,12.290398,12.299788,12.309171,12.318547,12.327916,12.337278,12.346632,12.355980,12.365320,12.374653,12.383980,12.393299,12.402612,12.411917,12.421215,12.430507,12.439791,12.449069,12.458339,12.467603,12.476860,12.486110,12.495353,12.504589,12.513819,12.523042,12.532258,12.541467,12.550669,12.559865,12.569054,12.578236,12.587411,12.596580,12.605742,12.614898,12.624047,12.633189
 3.64,13.522798,19.523075,19.257706,18.989744,18.719078,18.445590,18.169151,17.889624,17.606864,17.320711,17.030995,16.737530,16.440115,16.138533,15.831876,15.519161,15.200013,14.874020,14.543858,14.212448,13.879703,13.563629,13.283907,13.042876,12.831027,12.637961,12.464551,12.310299,12.174587,12.058043,11.964455,11.897613,11.857971,11.838432,11.831725,11.837873,11.850437,11.862988,11.875526,11.888051,11.900562,11.913060,11.925545,11.938017,11.950476,11.962923,11.975356,11.987776,12.000183,12.012578,12.024960,12.037329,12.049685,12.062029,12.074360,12.086679,12.098985,12.111278,12.123559,12.135828,12.148084,12.160328,12.172559,12.184779,12.196986,12.209180,12.221363,12.233534,12.245692,12.257838,12.269973,12.282095,12.294205,12.306304,12.318390,12.330465,12.342528,12.354579,12.366619,12.378646,12.390662,12.402667,12.414660,12.426641,12.438610,12.450569,12.462515,12.474450,12.486374,12.498287,12.510188,12.522078,12.533956,12.545823,12.557679,12.569524,12.581358,12.593181,12.604992,12.616793,12.628582,12.640360,12.652128,12.663884,12.675630,12.687365,12.699089,12.710802,12.722504,12.734196,12.745877,12.757547
 3.65,13.478736,19.536404,19.268225,18.997208,18.723231,18.446162,18.165859,17.882171,17.594932,17.303967,17.009085,16.710077,16.406719,16.098765,15.785374,15.465634,15.139143,14.805453,14.469223,14.135549,13.804615,13.493134,13.219331,12.985592,12.780039,12.589764,12.415471,12.257896,12.117748,11.995638,11.896726,11.826226,11.784647,11.764715,11.758951,11.767378,11.782884,11.798370,11.813835,11.829280,11.844705,11.860110,11.875495,11.890860,11.906206,11.921531,11.936837,11.952123,11.967390,11.982637,11.997865,12.013073,12.028263,12.043433,12.058584,12.073716,12.088829,12.103923,12.118999,12.134055,12.149093,12.164113,12.179114,12.194096,12.209060,12.224006,12.238934,12.253843,12.268734,12.283608,12.298463,12.313300,12.328119,12.342921,12.357705,12.372471,12.387220,12.401951,12.416664,12.431361,12.446039,12.460701,12.475345,12.489972,12.504583,12.519176,12.533752,12.548311,12.562853,12.577378,12.591887,12.606379,12.620854,12.635313,12.649755,12.664181,12.678590,12.692983,12.707359,12.721720,12.736064,12.750392,12.764704,12.779000,12.793280,12.807544,12.821792,12.836024,12.850241,12.864442,12.878627,12.892797
 3.66,13.434476,19.565902,19.295373,19.021622,18.744508,18.463879,18.179571,17.891411,17.599209,17.302759,17.001840,16.696210,16.385606,16.069738,15.747914,15.419374,15.083680,14.740343,14.397318,14.063336,13.739054,13.437402,13.172411,12.946331,12.746323,12.558502,12.383423,12.223131,12.079728,11.953822,11.851736,11.779886,11.738828,11.720869,11.718099,11.730527,11.750526,11.770491,11.790423,11.810321,11.830185,11.850016,11.869814,11.889579,11.909311,11.929010,11.948677,11.968312,11.987915,12.007485,12.027024,12.046531,12.066006,12.085450,12.104863,12.124245,12.143596,12.162916,12.182205,12.201464,12.220693,12.239891,12.259060,12.278198,12.297306,12.316385,12.335435,12.354455,12.373446,12.392407,12.411340,12.430244,12.449119,12.467966,12.486784,12.505574,12.524336,12.543069,12.561775,12.580453,12.599103,12.617726,12.636321,12.654888,12.673429,12.691943,12.710429,12.728889,12.747322,12.765728,12.784108,12.802462,12.820789,12.839090,12.857365,12.875614,12.893837,12.912035,12.930207,12.948353,12.966474,12.984570,13.002640,13.020686,13.038706,13.056702,13.074673,13.092619,13.110541,13.128438,13.146311,13.164159
 3.67,13.390460,19.601631,19.328916,19.052545,18.772357,18.488178,18.199821,17.907084,17.609749,17.307578,17.000315,16.687677,16.369356,16.045016,15.714131,15.376129,15.030527,14.676789,14.326805,13.993645,13.678538,13.389302,13.134312,12.915597,12.720290,12.534529,12.358744,12.196288,12.050654,11.922461,11.818879,11.747203,11.708020,11.693152,11.694191,11.711132,11.735979,11.760774,11.785517,11.810209,11.834848,11.859437,11.883974,11.908461,11.932898,11.957285,11.981622,12.005910,12.030149,12.054339,12.078481,12.102574,12.126620,12.150618,12.174568,12.198472,12.222329,12.246140,12.269904,12.293622,12.317295,12.340922,12.364504,12.388041,12.411534,12.434982,12.458386,12.481746,12.505063,12.528336,12.551566,12.574753,12.597898,12.621000,12.644059,12.667077,12.690053,12.712988,12.735881,12.758733,12.781544,12.804315,12.827045,12.849735,12.872385,12.894995,12.917566,12.940097,12.962589,12.985042,13.007457,13.029833,13.052170,13.074469,13.096731,13.118954,13.141140,13.163289,13.185400,13.207475,13.229512,13.251513,13.273477,13.295406,13.317298,13.339154,13.360974,13.382759,13.404508,13.426222,13.447901,13.469546
 3.68,13.346335,19.628976,19.353596,19.074241,18.790733,18.502882,18.210481,17.913308,17.611121,17.303658,16.990631,16.671729,16.346606,16.014884,15.676144,15.329920,14.975695,14.612886,14.256570,13.923359,13.614948,13.335022,13.087406,12.873966,12.681855,12.497268,12.320544,12.156137,12.008712,11.878903,11.774264,11.702489,11.664184,11.650955,11.654167,11.673804,11.701600,11.729330,11.756995,11.784595,11.812130,11.839601,11.867009,11.894353,11.921635,11.948855,11.976012,12.003108,12.030144,12.057118,12.084032,12.110887,12.137682,12.164418,12.191096,12.217715,12.244276,12.270780,12.297226,12.323616,12.349950,12.376227,12.402449,12.428616,12.454727,12.480784,12.506787,12.532736,12.558631,12.584472,12.610261,12.635997,12.661681,12.687313,12.712893,12.738422,12.763900,12.789327,12.814704,12.840030,12.865307,12.890534,12.915711,12.940840,12.965920,12.990952,13.015935,13.040871,13.065759,13.090599,13.115393,13.140140,13.164840,13.189494,13.214103,13.238665,13.263182,13.287653,13.312080,13.336462,13.360799,13.385093,13.409342,13.433547,13.457709,13.481827,13.505903,13.529936,13.553926,13.577873,13.601779,13.625642
 3.69,13.303252,19.647241,19.367841,19.084352,18.796587,18.504347,18.207417,17.905564,17.598535,17.286053,16.967817,16.643497,16.312731,15.975118,15.630214,15.277525,14.916500,14.546517,14.184918,13.850840,13.546319,13.272233,13.029323,12.819361,12.629358,12.445381,12.267699,12.101711,11.953086,11.822479,11.717307,11.645116,11.606522,11.593226,11.596683,11.616878,11.645384,11.673820,11.702188,11.730487,11.758717,11.786881,11.814977,11.843006,11.870969,11.898867,11.926699,11.954466,11.982169,12.009808,12.037384,12.064897,12.092347,12.119735,12.147061,12.174326,12.201529,12.228673,12.255756,12.282780,12.309744,12.336649,12.363496,12.390284,12.417015,12.443688,12.470305,12.496864,12.523368,12.549815,12.576207,12.602543,12.628824,12.655051,12.681224,12.707343,12.733408,12.759420,12.785379,12.811285,12.837139,12.862942,12.888692,12.914391,12.940039,12.965637,12.991184,13.016681,13.042128,13.067525,13.092873,13.118172,13.143423,13.168625,13.193779,13.218885,13.243943,13.268954,13.293918,13.318836,13.343707,13.368531,13.393310,13.418042,13.442729,13.467371,13.491968,13.516521,13.541028,13.565492,13.589911,13.614287
