g_mag, u0
3.600000,13.700618
3.610000,13.658286
3.620000,13.611140
3.630000,13.566437
3.640000,13.522798
3.650000,13.478736
3.660000,13.434476
3.670000,13.390460
3.680000,13.346335
3.690000,13.303252
3.700000,13.267666
3.710000,13.249233
3.720000,13.231735
3.730000,13.183033
3.740000,13.109820
3.750000,13.022160
3.760000,12.888158
3.770000,12.746711
3.780000,12.618322
3.790000,12.481762
3.800000,12.320675
3.810000,12.141374
3.820000,12.007858
3.830000,11.893101
3.840000,11.793404
3.850000,11.702921
3.860000,11.617879
3.870000,11.536272
3.880000,11.465438
3.890000,11.406294
3.900000,11.356919
3.910000,11.305393
3.920000,11.243355
3.930000,11.178559
3.940000,11.109525
3.950000,11.040577
3.960000,10.969904
3.970000,10.894203
3.980000,10.808264
3.990000,10.713376
4.000000,10.633379
4.010000,10.562686
4.020000,10.495803
4.030000,10.433424
4.040000,10.379401
4.050000,10.326144
4.060000,10.274172
4.070000,10.226029
4.080000,10.187224
4.090000,10.156397
4.100000,10.113320
4.110000,10.063621
4.120000,10.012255
4.130000,9.963366
4.140000,9.886448
4.150000,9.803599
4.160000,9.730814
4.170000,9.655507
4.180000,9.567011
4.190000,9.495275
4.200000,9.437283
4.210000,9.382155
4.220000,9.331759
4.230000,9.299530
4.240000,9.279446
4.250000,9.238727
4.260000,9.188820
4.270000,9.135680
4.280000,9.081690
4.290000,9.013630
4.300000,8.934508
4.310000,8.851598
4.320000,8.756620
4.330000,8.638438
4.340000,8.518866
4.350000,8.424720
4.360000,8.343608
4.370000,8.268991
4.380000,8.204607
4.390000,8.148424
4.400000,8.099328
4.410000,8.057276
4.420000,8.026713
4.430000,8.011099
4.440000,7.986383
4.450000,7.958854
4.460000,7.932957
4.470000,7.911999
4.480000,7.900916
4.490000,7.880819
4.500000,7.854992
4.510000,7.827929
4.520000,7.810930
4.530000,7.787306
4.540000,7.742353
4.550000,7.686829
4.560000,7.621556
4.570000,7.526201
4.580000,7.420619
4.590000,7.331626
4.600000,7.246421
4.610000,7.157304
4.620000,7.060740
4.630000,6.980814
4.640000,6.916485
4.650000,6.856788
4.660000,6.806867
4.670000,6.784432
4.680000,6.751387
4.690000,6.695087
4.700000,6.632685
4.710000,6.567920
4.720000,6.482054
4.730000,6.379148
4.740000,6.291736
4.750000,6.207089
4.760000,6.112653
4.770000,6.017066
4.780000,5.960752
4.790000,5.904146
4.800000,5.851220
4.810000,5.808822
4.820000,5.780584
4.830000,5.738053
4.840000,5.691855
4.850000,5.644891
4.860000,5.597159
4.870000,5.539424
4.880000,5.485027
4.890000,5.437645
4.900000,5.393336
4.910000,5.348974
4.920000,5.306493
4.930000,5.274233
4.940000,5.246736
4.950000,5.223427
4.960000,5.209942
4.970000,5.209168
4.980000,5.196914
4.990000,5.177562
5.000000,5.156841
5.010000,5.137585
5.020000,5.118151
5.030000,5.086719
5.040000,5.050744
5.050000,5.010403
5.060000,4.963828
5.070000,4.903168
5.080000,4.847505
5.090000,4.795475
5.100000,4.742156
5.110000,4.682500
5.120000,4.631043
5.130000,4.587839
5.140000,4.547606
5.150000,4.510772
5.160000,4.479034
5.170000,4.449704
5.180000,4.420938
5.190000,4.394276
5.200000,4.369944
5.210000,4.352111
5.220000,4.346400
5.230000,4.328109
5.240000,4.303998
5.250000,4.278307
5.260000,4.248912
5.270000,4.207959
5.280000,4.165338
5.290000,4.122630
5.300000,4.074898
5.310000,4.021026
5.320000,3.981997
5.330000,3.943964
5.340000,3.905815
5.350000,3.870026
5.360000,3.836799
5.370000,3.793878
5.380000,3.754622
5.390000,3.718263
5.400000,3.682199
5.410000,3.646333
5.420000,3.620758
5.430000,3.595560
5.440000,3.569581
5.450000,3.546179
5.460000,3.525975
5.470000,3.497026
5.480000,3.468097
5.490000,3.440049
5.500000,3.410930
5.510000,3.383893
5.520000,3.363488
5.530000,3.338274
5.540000,3.310233
5.550000,3.282129
5.560000,3.249754
5.570000,3.208330
5.580000,3.170166
5.590000,3.133703
5.600000,3.095104
5.610000,3.052004
5.620000,3.019139
